gene,Gene Name,ess_del,Galactose,low_fitness_gal
YNL184C,NA,NA,NA,NA
YNL207W,NA,yes,NA,NA
YNL302C,NA,NA,NA,NA
YNL339C,NA,NA,NA,NA
YNR076W,NA,NA,NA,NA
YOL005C,NA,yes,NA,NA
YOL109W,ZEO1,NA,0.941,low fitness galactose
YOL127W,NA,yes,NA,NA
YOL149W,NA,yes,NA,NA
YOL155W-A,NA,NA,NA,NA
YOR020C,HSP10,yes,0.682,low fitness galactose
YOR103C,OST2,yes,0.736,low fitness galactose
YOR142W-A,NA,NA,NA,NA
YOR142W-B,NA,NA,NA,NA
YOR150W,NA,NA,NA,NA
YOR159C,NA,yes,NA,NA
YOR167C,RPS28A,NA,0.766186,low fitness galactose
YOR182C,NA,NA,NA,NA
YOR257W,NA,yes,NA,NA
YOR305W,NA,NA,NA,NA
YOR376W-A,NA,NA,NA,NA
YOR393W,NA,NA,NA,NA
YOR394W,NA,NA,NA,NA
YOR396W,NA,NA,NA,NA
YPL060C-A,NA,NA,NA,NA
YPL078C,NA,NA,NA,NA
YPL118W,NA,NA,NA,NA
YPL129W,NA,NA,NA,NA
YPL152W-A,NA,NA,NA,NA
YPL209C,IPL1,yes,0.943,low fitness galactose
YPL209C,IPL1,yes,0.862,low fitness galactose
YPL225W,NA,NA,0.996,low fitness galactose
YPL257W-A,NA,NA,NA,NA
YPL257W-B,NA,NA,NA,NA
YPL278C,NA,NA,NA,NA
YPL280W,NA,NA,NA,NA
YPL281C,NA,NA,NA,NA
YPL282C,NA,NA,NA,NA
YPL283C,NA,NA,NA,NA
YPR043W,RPL43A,NA,0.548,low fitness galactose
YPR100W,NA,NA,NA,NA
YPR102C,NA,NA,NA,NA
YPR133W-A,NA,NA,NA,NA
YPR137C-A,NA,NA,NA,NA
YPR137C-B,NA,NA,NA,NA
YPR158W-A,NA,NA,NA,NA
YPR158W-B,NA,NA,NA,NA
YPR165W,NA,yes,NA,NA
YPR182W,NA,yes,NA,NA
YPR202W,NA,NA,NA,NA
YPR203W,NA,NA,NA,NA
